 
# QPROP Version 1.22
# 
# Simple propeller input file: 22x8                                               
# 
# MAD Components MN7005 (24V), W=188g direct drive                                
#   0.71000E-01  motor parameter 1 ,  R  (Ohms) 
#   0.90000      motor parameter 2 ,  Io (Amps) 
#    230.00      motor parameter 3 ,  Kv (rpm/Vo)
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   4294.      0.000   44.32       1.151       517.7      20.702   28.6305   0.8735   0.0000   0.00000  0.7780E-08  0.1837E-10   0.4363   0.0000   592.7       0.000       1.0694  0.3150E-01
    1.000   4294.      0.000   43.38       1.160       521.6      20.717   28.8406   0.8730   0.0832   0.00020  0.7616E-08  0.1851E-10   0.0892   0.0726   597.5       43.38       1.0455  0.2939E-01
    2.000   4294.      0.000   42.34       1.158       520.6      20.713   28.7862   0.8731   0.1626   0.00040  0.7433E-08  0.1848E-10   0.0450   0.1420   596.3       84.68       1.0188  0.2666E-01
    3.000   4294.      0.000   41.17       1.163       522.8      20.722   28.9023   0.8729   0.2363   0.00061  0.7228E-08  0.1855E-10   0.0293   0.2063   598.9       123.5       0.9891  0.2493E-01
    4.000   4294.      0.000   39.91       1.164       523.2      20.723   28.9239   0.8729   0.3051   0.00081  0.7006E-08  0.1857E-10   0.0214   0.2663   599.4       159.6       0.9568  0.2298E-01
    5.000   4294.      0.000   38.54       1.165       523.7      20.725   28.9510   0.8728   0.3680   0.00101  0.6766E-08  0.1859E-10   0.0165   0.3212   600.0       192.7       0.9223  0.2203E-01
    6.000   4294.      0.000   37.11       1.163       523.1      20.723   28.9171   0.8729   0.4257   0.00121  0.6514E-08  0.1856E-10   0.0133   0.3716   599.2       222.7       0.8863  0.2112E-01
    7.000   4294.      0.000   35.62       1.159       521.1      20.715   28.8137   0.8731   0.4784   0.00142  0.6252E-08  0.1850E-10   0.0109   0.4177   596.9       249.3       0.8488  0.2026E-01
    8.000   4294.      0.000   34.06       1.151       517.7      20.702   28.6321   0.8735   0.5263   0.00162  0.5979E-08  0.1837E-10   0.0091   0.4597   592.8       272.5       0.8099  0.1946E-01
    9.000   4294.      0.000   32.44       1.140       512.7      20.683   28.3635   0.8740   0.5695   0.00182  0.5695E-08  0.1820E-10   0.0077   0.4977   586.7       292.0       0.7696  0.1873E-01
   10.000   4294.      0.000   30.76       1.125       505.9      20.657   27.9986   0.8747   0.6081   0.00202  0.5401E-08  0.1796E-10   0.0066   0.5319   578.4       307.6       0.7280  0.1809E-01
   11.000   4294.      0.000   29.03       1.106       497.1      20.624   27.5283   0.8756   0.6422   0.00222  0.5095E-08  0.1764E-10   0.0057   0.5624   567.7       319.3       0.6850  0.1753E-01
   12.000   4294.      0.000   27.23       1.081       486.2      20.583   26.9436   0.8768   0.6720   0.00243  0.4780E-08  0.1726E-10   0.0049   0.5892   554.6       326.7       0.6408  0.1708E-01
   13.000   4294.      0.000   25.37       1.052       473.0      20.532   26.2353   0.8781   0.6973   0.00263  0.4454E-08  0.1679E-10   0.0042   0.6123   538.7       329.8       0.5955  0.1674E-01
   14.000   4294.      0.000   23.46       1.017       457.3      20.473   25.3945   0.8796   0.7182   0.00283  0.4118E-08  0.1623E-10   0.0036   0.6317   519.9       328.4       0.5490  0.1651E-01
   15.000   4294.      0.000   21.49      0.9761       438.9      20.403   24.4100   0.8813   0.7345   0.00303  0.3773E-08  0.1558E-10   0.0031   0.6473   498.0       322.4       0.5014  0.1640E-01
   16.000   4294.      0.000   19.47      0.9287       417.6      20.322   23.2679   0.8832   0.7461   0.00323  0.3418E-08  0.1482E-10   0.0026   0.6589   472.8       311.6       0.4529  0.1637E-01
   17.000   4294.      0.000   17.40      0.8742       393.1      20.228   21.9555   0.8851   0.7525   0.00344  0.3055E-08  0.1395E-10   0.0022   0.6661   444.1       295.8       0.4034  0.1640E-01
   18.000   4294.      0.000   15.28      0.8122       365.2      20.122   20.4628   0.8870   0.7531   0.00364  0.2682E-08  0.1296E-10   0.0018   0.6680   411.8       275.0       0.3532  0.1650E-01
   19.000   4294.      0.000   13.11      0.7424       333.8      20.003   18.7808   0.8886   0.7463   0.00384  0.2302E-08  0.1185E-10   0.0015   0.6632   375.7       249.1       0.3021  0.1667E-01
   20.000   4294.      0.000   10.90      0.6643       298.7      19.870   16.9012   0.8896   0.7296   0.00404  0.1913E-08  0.1060E-10   0.0012   0.6490   335.8       218.0       0.2503  0.1690E-01
   21.000   4294.      0.000   8.639      0.5778       259.8      19.722   14.8163   0.8892   0.6983   0.00425  0.1517E-08  0.9221E-11   0.0009   0.6209   292.2       181.4       0.1980  0.1719E-01
   22.000   4294.      0.000   6.337      0.4824       216.9      19.558   12.5189   0.8859   0.6427   0.00445  0.1113E-08  0.7699E-11   0.0006   0.5694   244.9       139.4       0.1450  0.1756E-01
   23.000   4294.      0.000   3.994      0.3779       169.9      19.380   10.0015   0.8767   0.5406   0.00465  0.7012E-09  0.6031E-11   0.0004   0.4740   193.8       91.87       0.0916  0.1799E-01
   24.000   4294.      0.000   1.602      0.2669       120.0      19.190    7.3286   0.8534   0.3204   0.00485  0.2813E-09  0.4259E-11   0.0001   0.2735   140.6       38.46       0.0379  0.1922E-01
   25.000   4294.      0.000 -0.7495      0.1572       70.71      19.002    4.6872   0.7938  -0.2650   0.00505 -0.1316E-09  0.2509E-11  -0.0001  -0.2104   89.07      -18.74      -0.0134  0.2185E-01
   26.000   4294.      0.000  -2.993      0.4500E-01   20.23      18.810    1.9838   0.5422  -3.8463   0.00526 -0.5254E-09  0.7181E-12  -0.0002  -2.0855   37.32      -77.82      -0.0617  0.2429E-01
   27.000   4294.      0.000  -5.128     -0.5656E-01  -25.43      18.637   -0.4622   2.9524   5.4438   0.00546 -0.9001E-09 -0.9026E-12  -0.0004  16.0720  -8.614      -138.4      -0.1060  0.2863E-01
   28.000   4294.      0.000  -7.115     -0.1479      -66.52      18.480   -2.6630   1.3517   2.9949   0.00566 -0.1249E-08 -0.2361E-11  -0.0005   4.0481  -49.21      -199.2      -0.1460  0.3404E-01
   29.000   4294.      0.000  -8.938     -0.2262      -101.7      18.347   -4.5472   1.2190   2.5489   0.00586 -0.1569E-08 -0.3609E-11  -0.0007   3.1071  -83.43      -259.2      -0.1812  0.4049E-01
   30.000   4294.      0.000  -10.58     -0.2877      -129.4      18.241   -6.0302   1.1762   2.4523   0.00607 -0.1857E-08 -0.4592E-11  -0.0008   2.8844  -110.0      -317.3      -0.2114  0.4799E-01

