Accx | Accy | Accz | Roll | Pitch | Yaw | Time(ms)
m/s^2 | m/s^2 | m/s^2 | grad | grad | grad | millisegundo
0.07 | -7.60 | 5.77 | 52.56 | -0.37 | 345.50 | 160404
-0.06 | -7.85 | 5.84 | 52.63 | -0.44 | 345.56 | 160423
-0.02 | -7.81 | 5.82 | 52.63 | -0.44 | 345.56 | 160445
-0.05 | -7.77 | 5.68 | 52.63 | -0.50 | 345.62 | 160466
-0.07 | -7.78 | 5.72 | 52.63 | -0.50 | 345.62 | 160485
0.03 | -7.75 | 5.82 | 52.63 | -0.50 | 345.62 | 160506
0.00 | -7.70 | 5.88 | 52.63 | -0.56 | 345.62 | 160525
-0.01 | -7.81 | 5.82 | 52.63 | -0.56 | 345.62 | 160546
-0.04 | -7.77 | 5.85 | 52.63 | -0.56 | 345.62 | 160570
-0.03 | -7.73 | 5.90 | 52.63 | -0.62 | 345.62 | 160589
-0.04 | -7.72 | 5.89 | 52.63 | -0.62 | 345.62 | 160608
-0.05 | -7.74 | 5.95 | 52.63 | -0.62 | 345.62 | 160627
-0.07 | -7.79 | 5.88 | 52.63 | -0.62 | 345.69 | 160647
-0.10 | -7.83 | 5.83 | 52.63 | -0.69 | 345.69 | 160667
-0.05 | -7.77 | 5.83 | 52.63 | -0.69 | 345.69 | 160685
-0.01 | -7.66 | 5.88 | 52.63 | -0.69 | 345.69 | 160706
-0.02 | -7.71 | 5.83 | 52.63 | -0.69 | 345.69 | 160725
-0.06 | -7.82 | 5.78 | 52.69 | -0.75 | 345.69 | 160748
-0.08 | -7.84 | 5.72 | 52.63 | -0.75 | 345.69 | 160768
-0.05 | -7.74 | 5.73 | 52.63 | -0.81 | 345.69 | 160788
0.04 | -7.62 | 5.83 | 52.63 | -0.81 | 345.62 | 160808
0.05 | -7.60 | 5.87 | 52.63 | -0.75 | 345.62 | 160827
0.00 | -7.78 | 5.84 | 52.63 | -0.81 | 345.62 | 160847
0.03 | -7.81 | 5.74 | 52.63 | -0.81 | 345.69 | 160868
0.00 | -7.69 | 5.71 | 52.56 | -0.81 | 345.62 | 160886
-0.07 | -7.71 | 5.83 | 52.56 | -0.75 | 345.62 | 160907
-0.15 | -7.70 | 5.80 | 52.63 | -0.75 | 345.62 | 160930
-0.14 | -7.77 | 5.86 | 52.63 | -0.69 | 345.56 | 160949
-0.19 | -7.89 | 5.93 | 52.63 | -0.62 | 345.56 | 160969
-0.23 | -7.93 | 5.96 | 52.63 | -0.62 | 345.56 | 160989
-0.23 | -7.98 | 5.98 | 52.63 | -0.69 | 345.56 | 161009
-0.26 | -7.93 | 5.93 | 52.69 | -0.69 | 345.56 | 161027
-0.17 | -7.84 | 5.94 | 52.69 | -0.75 | 345.56 | 161048
-0.14 | -7.78 | 5.87 | 52.69 | -0.81 | 345.50 | 161069
-0.14 | -7.72 | 5.86 | 52.69 | -0.88 | 345.50 | 161087
-0.09 | -7.70 | 5.93 | 52.63 | -0.88 | 345.44 | 161110
-0.01 | -7.66 | 5.89 | 52.63 | -0.94 | 345.44 | 161128
0.05 | -7.62 | 5.79 | 52.56 | -1.00 | 345.37 | 161149
