J CT CP eta V T P_disp P_nec RC
0.427000 0.068000 0.041600 0.698000 11.693219 15.475904 180.963135 40.961706 5.932264
0.453000 0.064200 0.040800 0.713000 12.405218 14.611074 181.253558 48.324843 5.632573
0.484000 0.059000 0.039300 0.726000 13.254140 13.427623 177.971595 58.318837 5.070032
0.507000 0.054800 0.037900 0.734000 13.883985 12.471758 173.157701 66.634880 4.513679
0.535000 0.048400 0.035300 0.735000 14.650754 11.015203 161.381029 77.851039 3.539406
0.552000 0.044800 0.033700 0.735000 15.116292 10.195890 154.124050 85.271091 2.917498
0.581000 0.037700 0.030200 0.725000 15.910445 8.580023 136.511984 99.040832 1.587761
0.601000 0.033300 0.028000 0.715000 16.458137 7.578641 124.730312 109.385605 0.650199
0.631000 0.027100 0.024900 0.687000 17.279674 6.167603 106.574169 126.259149 -0.834109
0.651000 0.023000 0.022700 0.660000 17.827366 5.234497 93.317294 138.446718 -1.912264
0.681000 0.017000 0.019300 0.599000 18.648904 3.868976 72.152162 158.194708 -3.645871
0.706000 0.012300 0.016700 0.523000 19.333518 2.799318 54.120665 176.046418 -5.166345
0.736000 0.006700 0.013400 0.370000 20.155056 1.524832 30.733074 199.211594 -7.138920
0.763000 0.001500 0.010200 0.114000 20.894440 0.341380 7.132944 221.748245 -9.093869
